date,asset,TR,PREV_TR,W,w,w_rank,w_pct_rank
2017-08-21,AG,0,0,0,0.015,14,0.583
2017-08-21,A,0,0,0,0.006,20,0.833
2017-08-21,AL,0,0,0,0.020,9,0.375
2017-08-21,AU,0,0,0,0.008,19,0.792
2017-08-21,BB,0,0,0,0.001,51,1.000
2017-08-21,B,0,0,0,0.009,51,1.000
2017-08-21,BU,0,0,0,0.017,10,0.417
2017-08-21,CF,0,0,0,0.012,18,0.750
2017-08-21,C,1,1,0,0.018,51,1.000
2017-08-21,CS,0,0,0,0.017,11,0.458
2017-08-21,CU,0,0,0,0.015,13,0.542
2017-08-21,FB,0,0,0,-0.015,51,1.000
2017-08-21,FG,1,1,0,0.018,51,1.000
2017-08-21,FU,0,0,0,0.036,51,1.000
2017-08-21,HC,1,1,0,0.070,51,1.000
2017-08-21,IC,0,0,0,0.019,51,1.000
2017-08-21,IF,0,0,0,0.007,51,1.000
2017-08-21,IH,0,0,0,-0.005,51,1.000
2017-08-21,I,0,0,1,0.091,1,0.042
2017-08-21,JD,0,0,0,0.013,17,0.708
2017-08-21,J,0,0,1,0.050,6,0.250
2017-08-21,JM,0,0,1,0.066,3,0.125
2017-08-21,JR,0,0,0,-0.012,51,1.000
2017-08-21,L,0,0,0,0.015,15,0.625
2017-08-21,LR,0,0,0,,51,1.000
2017-08-21,MA,0,0,0,0.029,8,0.333
2017-08-21,M,0,0,0,-0.039,2,0.500
2017-08-21,NI,0,0,1,0.073,2,0.083
2017-08-21,OI,0,0,0,0.003,22,0.917
2017-08-21,PB,0,0,0,-0.005,23,0.958
2017-08-21,P,0,0,0,0.014,16,0.667
2017-08-21,PM,0,0,0,0.003,51,1.000
2017-08-21,PP,0,0,1,0.044,7,0.292
2017-08-21,RB,0,0,1,0.059,5,0.208
2017-08-21,RI,0,0,0,-0.005,51,1.000
2017-08-21,RM,0,0,-1,-0.043,1,0.250
2017-08-21,RS,0,0,0,0.026,51,1.000
2017-08-21,RU,0,0,0,-0.095,24,1.000
2017-08-21,SF,1,1,0,0.160,51,1.000
2017-08-21,SM,1,1,0,0.038,51,1.000
2017-08-21,SN,0,0,0,-0.014,51,1.000
2017-08-21,SR,-1,-1,0,-0.011,51,1.000
2017-08-21,TA,0,0,0,-0.008,3,0.750
2017-08-21,TF,0,0,0,-0.003,51,1.000
2017-08-21,T,0,0,0,-0.003,4,1.000
2017-08-21,V,1,1,0,0.034,51,1.000
2017-08-21,WH,0,0,0,0.005,51,1.000
2017-08-21,WR,0,0,0,,51,1.000
2017-08-21,Y,0,0,0,0.005,21,0.875
2017-08-21,ZC,0,0,0,0.017,12,0.500
2017-08-21,ZN,0,0,1,0.065,4,0.167
